Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Gads;Sezona
40000.0;152.71;1;5;527.9;2531.6;8613.0;2005;15.0;3;3;60.5;52.8;5;1;57.076944;24.323611;2023;1
52900.0;58.29;1;10;597.8;5209.6;17383.0;1981;30.0;7;7;61.8;59.1;10;3;56.858611;24.349722;2024;2
50000.0;18.71;1;9;901.0;6803.8;23862.0;1979;17.0;8;8;51.1;48.7;8;2;56.858611;24.349722;2024;2
30200.0;168.84;1;3;632.3;1644.2;5703.0;1984;10.0;2;2;70.3;66.8;10;3;56.744444;24.721389;2024;2
65000.0;41.28;1;9;326.6;2354.7;8747.0;1990;19.0;9;9;59.8;57.8;8;3;56.787222;23.941944;2024;2
20000.0;15.01;1;9;520.3;3676.2;14214.0;1966;30.0;4;4;29.3;29.3;4;1;56.787222;23.941944;2024;2
58000.0;81.71;1;3;501.1;1259.9;5422.0;1979;30.0;3;3;45.4;45.4;7;2;57.155;24.857778;2024;2
33000.0;29.76;1;10;1015.0;9432.4;28853.0;1976;41.0;1;1;35.9;35.9;7;1;56.858611;24.349722;2024;2
22000.0;45.24;1;5;1540.0;7274.9;21726.0;1969;20.0;2;2;31.2;28.5;5;1;56.858611;24.349722;2024;2
65600.0;164.29;1;4;311.1;1072.3;2942.0;2008;0.0;2;2;73.9;65.6;6;2;56.875;24.119167;2024;2
51500.0;47.54;1;5;873.1;3945.5;13582.0;1983;14.0;1;1;66.3;64.7;8;3;56.836667;24.496111;2024;2
85000.0;115.32;1;3;736.8;2362.8;7630.0;1974;25.0;3;3;73.5;66.3;9;3;57.076944;24.323611;2024;2
137000.0;74.93;1;4;596.8;2270.9;7922.0;2007;15.0;3;4;126.5;121.8;8;4;56.858611;24.349722;2024;2
18000.0;31.85;1;5;1030.0;5279.8;17151.0;1973;30.0;2;2;45.6;43.3;8;2;56.858611;24.349722;2024;2
150000.0;74.29;1;4;596.8;2270.9;7922.0;2007;15.0;3;4;121.0;116.2;8;3;56.858611;24.349722;2024;2
2000.0;342.23;2;2;350.1;519.8;2207.0;1936;55.0;2;2;24.2;24.2;4;1;56.744444;24.721389;2024;2
69105.26;42.73;1;5;547.0;2911.1;8768.0;2007;19.0;3;3;57.4;52.9;5;2;56.858611;24.349722;2024;2
50000.0;103.25;1;5;700.4;3267.1;10774.0;1972;20.0;4;4;59.9;59.0;8;3;56.744444;24.721389;2024;2
145000.0;771.33;1;3;269.6;769.8;2780.0;1903;15.0;2;2;131.6;79.0;7;4;57.155;24.857778;2024;2
8500.0;52.7;2;5;878.6;4029.4;13280.0;1985;10.0;3;3;33.2;33.2;5;1;56.858611;24.349722;2024;2
2000.0;18.95;1;5;1040.2;5500.2;16528.0;1975;30.0;4;4;39.4;36.3;6;2;56.832222;24.226667;2024;2
74000.0;33.64;1;6;920.3;4636.2;14391.0;1977;15.0;4;4;68.2;61.0;6;3;56.832222;24.226667;2024;2
59000.0;88.75;1;3;434.5;1260.0;4631.0;1965;35.0;3;3;40.8;40.8;3;2;57.155;24.857778;2024;2
20000.0;21.57;1;5;593.6;2686.8;9875.0;1964;30.0;3;3;54.9;53.2;8;3;56.787222;23.941944;2024;2
48500.0;38.57;1;10;1151.0;10084.3;32287.0;1977;15.0;4;4;51.1;48.6;8;2;56.858611;24.349722;2024;2
80000.0;106.26;1;5;695.2;3187.6;11037.0;1982;28.0;5;5;76.3;73.0;10;3;56.858611;24.349722;2024;2
38000.0;219.64;1;3;255.6;765.0;2817.0;1960;30.0;3;3;48.7;48.7;5;2;56.723056;24.805833;2024;2
21300.0;128.06;1;5;967.6;3959.9;9070.0;1991;26.0;4;4;67.1;60.5;8;3;57.076944;24.323611;2024;2
