Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;mat_223;mat_238;mat_214;mat_212;mat_215;mat_232;mat_243;mat_537;mat_213;mat_211;mat_545;mat_227;mat_216;mat_226;mat_224;mat_222;mat_231;mat_244;mat_241;mat_235;mat_234
220000.0;533.57;1;2;624.9;929.8;3515.0;2009;0;1;2;232.7;203.5;17;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33000.0;35.01;1;5;593.6;2686.8;9875.0;1964;30;2;2;44.5;42.8;6;2;56.787222;23.941944;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40000.0;65.49;1;4;1282.9;4968.1;17246.0;1974;25;2;2;44.5;44.5;7;2;57.155;24.857778;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41000.0;65.08;1;5;1089.9;5237.8;16737.0;1969;30;3;3;63.4;60.6;8;3;56.787222;23.941944;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15000.0;25.33;1;5;811.4;3666.3;11214.0;1970;30;5;5;32.3;29.5;5;1;57.0925;24.546389;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55000.0;48.54;1;10;606.0;5235.5;17462.0;1979;15;4;4;76.4;71.2;12;4;56.858611;24.349722;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55000.0;107.75;1;5;1828.0;8417.9;28692.0;1990;15;5;5;69.1;62.0;10;3;56.858611;24.349722;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60000.0;80.06;1;4;565.9;2515.6;7575.0;2010;0;2;2;60.7;54.1;5;2;57.155;24.857778;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119000.0;77.76;3;6;1563.7;5963.3;19292.0;2008;0;4;4;106.0;81.8;7;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5220.0;36.28;1;5;1344.0;7233.5;22037.0;1980;15;2;2;46.7;44.1;7;2;56.858611;24.349722;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42000.0;44.66;1;6;944.1;4676.0;12559.0;1988;20;4;4;45.6;45.6;6;2;56.875;24.119167;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31599.0;97.74;1;3;431.4;1041.1;3417.0;1962;30;1;1;42.4;42.4;5;2;56.787222;23.941944;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95000.0;33.58;1;5;791.2;3729.3;11981.0;2008;0;4;4;65.2;56.6;5;3;56.875;24.119167;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7500.0;43.31;1;5;932.1;4522.7;14945.0;1975;30;4;4;18.0;18.0;3;1;56.858611;24.349722;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30000.0;57.22;1;5;1471.0;7279.5;23664.0;1971;30;4;4;45.0;45.0;6;2;56.858611;24.349722;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51975.0;84.03;1;4;1850.3;6568.3;24858.0;2018;0;1;1;41.9;41.9;4;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90975.0;134.16;1;4;1850.3;6568.3;24858.0;2018;0;3;3;66.9;62.4;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84975.0;135.97;1;4;1850.3;6568.3;24858.0;2018;0;3;3;67.8;63.2;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44700.0;69.68;1;5;1055.5;5189.7;17075.0;1972;30;5;5;50.9;48.0;7;2;56.875;24.119167;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26000.0;101.73;1;10;348.0;2643.5;9381.0;1972;25;5;5;35.7;32.9;5;1;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28000.0;43.01;1;4;626.6;2462.5;7500.0;1971;30;2;2;35.3;29.3;5;1;57.155;24.857778;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19270.0;37.46;1;5;671.4;3022.4;10375.0;1986;25;3;3;52.2;51.2;7;2;56.875;24.119167;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30000.0;60.31;1;4;658.9;2150.3;7315.0;1985;20;3;3;45.8;45.8;6;2;56.875;24.119167;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103975.0;134.37;1;4;1850.3;6568.3;24858.0;2018;0;4;4;67.0;62.4;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104975.0;135.97;1;4;1850.3;6568.3;24858.0;2018;0;4;4;67.8;63.3;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122000.0;187.31;1;4;1850.3;6568.3;24858.0;2018;0;2;2;93.4;89.0;8;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80000.0;30.23;1;5;1063.7;4709.0;16345.0;2008;0;5;5;57.1;48.6;4;2;56.875;24.119167;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48000.0;52.38;1;5;642.7;3176.1;10315.0;1992;0;3;3;71.2;63.2;8;3;57.0925;24.546389;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45100.0;39.18;1;5;671.4;3022.4;10375.0;1986;25;1;1;54.6;51.3;7;2;56.875;24.119167;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128975.0;188.11;1;4;1850.3;6568.3;24858.0;2018;0;3;3;93.8;89.2;8;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124975.0;187.51;1;4;1850.3;6568.3;24858.0;2018;0;4;4;93.5;89.1;8;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63975.0;99.27;1;4;1850.3;6568.3;24858.0;2018;0;3;3;49.5;49.5;3;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85975.0;133.96;1;4;1850.3;6568.3;24858.0;2018;0;4;4;66.8;62.4;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77975.0;116.12;1;4;1850.3;6568.3;24858.0;2018;0;4;4;57.9;53.8;4;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139975.0;204.36;1;4;1850.3;6568.3;24858.0;2018;0;3;3;101.9;97.5;8;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69975.0;83.63;1;4;1850.3;6568.3;24858.0;2018;0;1;1;41.7;41.7;4;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46500.0;72.55;1;5;832.0;3966.4;13404.0;1982;15;3;3;45.0;45.0;4;2;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60000.0;101.57;1;3;332.3;666.6;2504.0;2007;0;3;3;49.5;49.5;5;2;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97000.0;111.39;1;5;1885.9;9327.9;35631.0;2008;0;4;4;80.6;77.2;6;3;57.076944;24.323611;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51000.0;217.04;1;2;302.0;459.5;1902.0;1955;50;1;1;49.5;49.5;5;2;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52975.0;77.61;1;4;1850.3;6568.3;24858.0;2018;0;1;1;38.7;34.3;5;1;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88975.0;132.76;1;4;1850.3;6568.3;24858.0;2018;0;2;2;66.2;61.8;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69900.0;79.02;1;6;456.2;2303.0;6740.0;2002;5;4;4;70.0;64.2;7;2;56.836667;24.496111;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90975.0;134.37;1;4;1850.3;6568.3;24858.0;2018;0;2;2;67.0;62.4;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65975.0;99.47;1;4;1850.3;6568.3;24858.0;2018;0;2;2;49.6;49.6;3;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23500.0;39.51;1;5;1009.0;4845.5;16187.0;1994;5;5;5;39.2;39.2;4;1;57.0925;24.546389;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15000.0;49.64;1;3;380.2;857.5;3106.0;1970;20;3;3;25.9;25.9;4;1;56.836667;24.496111;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110000.0;72.33;3;6;1563.7;5963.3;19292.0;2008;0;2;2;98.6;73.9;5;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48000.0;97.82;1;4;504.1;1977.9;6729.0;1994;10;1;1;47.0;47.0;5;2;56.7425;24.394167;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6700.0;31.75;1;5;1194.4;5093.0;16409.0;1968;20;1;1;28.5;28.5;4;1;56.787222;23.941944;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82975.0;99.07;1;4;1850.3;6568.3;24858.0;2018;0;4;4;49.4;49.4;3;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144975.0;187.11;1;4;1850.3;6568.3;24858.0;2018;0;3;3;93.3;88.9;8;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77975.0;116.32;1;4;1850.3;6568.3;24858.0;2018;0;4;4;58.0;53.9;4;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58975.0;84.23;1;4;1850.3;6568.3;24858.0;2018;0;1;1;42.0;42.0;4;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23000.0;32.01;1;9;968.0;7451.8;25134.0;1986;10;9;9;31.6;31.6;5;1;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111000.0;162.04;1;4;1850.3;6568.3;24858.0;2018;0;1;1;80.8;76.4;8;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105975.0;133.16;1;4;1850.3;6568.3;24858.0;2018;0;2;2;66.4;62.0;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105975.0;133.16;1;4;1850.3;6568.3;24858.0;2018;0;3;3;66.4;62.0;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103975.0;134.37;1;4;1850.3;6568.3;24858.0;2018;0;3;3;67.0;62.6;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76975.0;99.07;1;4;1850.3;6568.3;24858.0;2018;0;4;4;49.4;49.4;3;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139975.0;204.36;1;4;1850.3;6568.3;24858.0;2018;0;4;4;101.9;97.5;8;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115000.0;163.24;1;4;1850.3;6568.3;24858.0;2018;0;1;1;81.4;76.9;8;4;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55000.0;48.38;1;6;958.7;4697.4;17072.0;1979;25;3;3;69.4;62.2;8;3;56.832222;24.226667;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85975.0;134.77;1;4;1850.3;6568.3;24858.0;2018;0;2;2;67.2;62.8;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
