Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
15000.0;1;5;2382.9;1970;30.0;55.0;6;3;56.666389;22.493611;3.0;2024;0;1;0;0
56000.0;1;6;4686.1;1987;5.0;70.6;8;3;56.966667;23.153333;3.0;2024;0;1;0;0
16281.5;1;5;3620.6;1973;30.0;35.1;5;2;56.966667;23.153333;1.0;2024;0;1;0;0
13900.0;2;3;1173.3;1972;20.0;38.9;6;2;56.666389;22.493611;1.0;2024;0;0;1;0
15100.0;1;5;4687.0;1986;30.0;34.1;5;1;56.966667;23.153333;5.0;2024;0;1;0;0
21000.0;2;2;758.4;1957;60.0;62.2;7;3;56.68;22.568333;2.0;2024;0;1;0;0
17000.0;1;5;4687.0;1993;5.0;44.0;5;1;56.666389;22.493611;2.0;2024;0;1;0;0
19700.0;1;2;888.8;1955;25.0;62.5;7;3;56.68;22.568333;2.0;2024;0;1;0;0
18700.0;1;5;2872.0;1991;10.0;52.0;7;2;56.666389;22.493611;2.0;2024;0;1;0;0
18400.0;1;5;2601.5;1969;30.0;41.0;6;2;56.666389;22.493611;2.0;2024;0;0;1;0
3450.0;1;5;4009.9;1978;30.0;30.7;5;1;56.966667;23.153333;1.0;2024;0;1;0;0
56500.0;1;5;5266.3;1976;20.0;69.3;8;3;57.246667;22.588611;1.0;2024;0;1;0;0
8100.0;1;5;4054.1;1974;25.0;47.8;6;2;57.246667;22.588611;4.0;2024;0;1;0;0
20000.0;1;5;4745.6;1980;20.0;48.6;8;2;56.966667;23.153333;3.0;2024;0;1;0;0
28500.0;1;3;744.1;1963;25.0;40.6;5;2;56.966667;23.153333;2.0;2024;0;1;0;0
45000.0;1;5;5267.4;1981;10.0;54.5;7;2;56.966667;23.153333;4.0;2024;1;0;0;0
25000.0;1;5;5267.4;1981;10.0;43.2;5;1;56.966667;23.153333;5.0;2024;0;0;0;1
18000.0;1;5;2518.8;1970;30.0;34.5;6;2;56.966667;23.153333;1.0;2024;0;0;0;1
53000.0;1;5;3153.7;1972;30.0;70.8;9;4;57.246667;22.588611;3.0;2024;0;0;0;1
20000.0;1;5;2872.0;1991;10.0;51.0;7;2;56.666389;22.493611;5.0;2024;0;1;0;0
4000.0;1;3;1848.5;1965;50.0;39.5;5;2;56.3;26.716667;1.0;2023;0;0;0;1
