Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
27500.0;1;6;4559.2;1984;25;67.3;8;3;57.246667;22.588611;1.0;2020;0;1;0;0
17000.0;1;5;4812.7;1988;15;48.9;8;2;56.966667;23.153333;5.0;2020;0;1;0;0
23000.0;1;2;364.3;1961;30;65.2;7;3;56.966667;23.153333;2.0;2020;0;1;0;0
37300.0;1;5;2594.3;1970;20;88.7;11;4;57.246667;22.588611;5.0;2020;0;1;0;0
10800.0;1;4;3321.6;1983;15;54.4;7;2;56.535;21.166111;2.0;2020;1;0;0;0
6000.0;1;5;3984.0;1976;35;50.6;9;2;56.966667;23.153333;5.0;2020;0;1;0;0
1500.0;2;2;498.9;1963;35;48.7;6;2;57.0375;22.775;2.0;2020;0;1;0;0
20000.0;1;3;1886.8;1972;27;52.5;7;2;56.666389;22.493611;3.0;2020;0;1;0;0
6120.0;1;6;2579.2;1978;20;35.9;4;1;56.666389;22.493611;5.0;2020;0;1;0;0
7000.0;1;3;714.5;1960;30;40.5;7;2;56.666389;22.493611;1.0;2020;0;1;0;0
18900.0;1;5;2984.3;1976;30;47.5;6;2;57.246667;22.588611;3.0;2020;0;0;1;0
16490.0;1;2;855.9;1955;45;80.6;12;3;56.966667;23.153333;2.0;2020;0;1;0;0
40000.0;1;5;3759.1;1977;30;52.5;7;2;57.246667;22.588611;1.0;2020;0;1;0;0
23000.0;1;5;4009.9;1978;30;48.8;8;2;56.966667;23.153333;5.0;2020;0;1;0;0
32300.0;1;5;2864.2;1985;15;67.0;8;3;56.666389;22.493611;1.0;2020;0;1;0;0
11000.0;1;5;2771.4;1987;20;34.0;5;1;57.246667;22.588611;1.0;2020;0;1;0;0
15000.0;1;2;532.8;1953;70;48.4;7;2;56.68;22.568333;1.0;2020;0;1;0;0
13000.0;1;5;2575.7;1971;35;45.1;6;1;57.246667;22.588611;5.0;2020;0;1;0;0
32200.0;1;5;2859.7;1991;10;67.6;8;3;56.666389;22.493611;3.0;2020;0;1;0;0
29000.0;1;5;4746.4;1986;15;67.8;9;3;56.966667;23.153333;5.0;2020;0;1;0;0
