Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums
125000.0;1;4;2000.2;6247.3;24554.0;2007;14.0;1;1;76.5;76.5;7;3;56.900833;24.047778
38500.0;1;4;515.3;1946.6;6989.0;1987;15.0;2;2;36.8;36.8;4;1;57.155;24.857778
18000.0;1;5;580.1;2848.1;9305.0;1980;32.0;1;1;31.2;31.2;4;1;56.723056;24.805833
82400.0;1;4;1336.5;5492.4;18611.0;2007;19.0;2;2;55.1;51.2;7;2;56.858611;24.349722
67000.0;1;5;715.4;3253.2;11387.0;1987;26.0;1;1;60.1;60.1;8;3;57.076944;24.323611
85000.0;1;5;1123.0;5360.5;16282.0;2008;13.0;5;5;61.2;54.2;5;2;56.836667;24.496111
63000.0;1;3;643.7;1743.4;5949.0;1966;30.0;3;3;48.6;48.6;6;2;57.155;24.857778
15000.0;1;4;586.5;1857.2;7155.0;1969;30.0;2;2;30.0;30.0;4;1;57.155;24.857778
87000.0;1;4;1991.9;6315.2;23819.0;2007;12.0;1;1;50.4;50.4;3;2;56.900833;24.047778
85000.0;1;6;676.6;3304.5;10901.0;1985;20.0;5;5;91.7;88.3;10;4;56.787222;23.941944
21000.0;1;6;477.1;2232.4;7262.0;1989;15.0;2;2;33.6;33.6;5;1;56.787222;23.941944
39500.0;1;9;1165.1;9183.3;31403.0;2006;17.0;7;7;46.1;46.1;4;1;56.787222;23.941944
70000.0;1;3;1175.0;3511.7;11900.0;1980;20.0;2;2;54.7;48.1;8;2;57.155;24.857778
100000.0;2;4;2771.0;8428.2;29618.0;2007;13.0;4;4;73.7;68.4;4;2;56.900833;24.047778
146000.0;1;4;2000.2;6247.3;24554.0;2007;14.0;2;2;93.9;90.6;10;4;56.900833;24.047778
120000.0;1;3;1928.3;3946.6;14853.0;2006;13.0;2;2;75.3;72.2;6;3;56.900833;24.047778
79000.0;1;4;2047.0;6500.7;24376.0;2007;19.0;1;1;53.8;53.8;5;2;56.900833;24.047778
112606.05;1;3;742.3;2204.8;8055.0;1987;15.0;1;1;87.5;76.3;8;4;57.155;24.857778
40000.0;1;3;249.1;646.4;2558.0;1979;30.0;1;1;43.1;43.1;3;2;57.155;24.857778
8000.0;1;5;954.3;4776.1;15445.0;1980;30.0;3;3;47.0;46.4;9;2;56.723056;24.805833
60000.0;2;2;167.0;289.2;1005.0;1959;50.0;2;2;73.3;73.3;10;3;57.155;24.857778
27197.96;1;3;1002.8;3035.0;10226.0;1983;15.0;3;3;107.4;29.4;5;1;57.155;24.857778
53000.0;1;5;732.6;3372.6;11571.0;1996;30.0;3;3;56.7;56.7;7;3;57.076944;24.323611
69000.0;1;4;470.0;1534.8;5493.0;1978;25.0;1;1;59.8;59.8;7;3;57.155;24.857778
6000.0;1;5;968.8;3906.0;15923.0;1980;30.0;5;5;31.7;31.1;6;1;56.723056;24.805833
75000.0;1;6;1540.0;5568.4;19115.0;1988;28.0;2;2;56.8;50.8;7;2;57.155;24.857778
284000.0;1;2;517.6;867.9;2990.0;2007;0.0;1;2;196.9;167.8;11;4;56.900833;24.047778
26000.0;1;5;1446.0;7202.5;22541.0;1975;32.0;3;3;31.6;28.8;7;1;56.858611;24.349722
13700.0;1;2;499.5;1017.5;4090.0;1960;26.0;1;1;53.6;53.6;6;2;57.0925;24.546389
151000.0;1;4;1825.7;5625.1;21383.0;2006;14.0;3;3;75.2;72.0;7;3;56.900833;24.047778
155000.0;1;3;1928.3;3946.2;14853.0;2006;13.0;2;2;94.9;91.8;7;3;56.900833;24.047778
18000.0;1;3;428.7;1334.7;4568.0;1962;30.0;1;1;44.2;44.2;5;2;57.0925;24.546389
47800.0;1;5;453.8;1863.2;6093.0;1991;26.0;1;1;54.4;51.5;6;2;56.858611;24.349722
65000.0;1;3;1175.0;3511.7;11900.0;1980;20.0;2;2;75.8;62.5;10;3;57.155;24.857778
65000.0;1;4;619.9;2535.3;7938.0;1991;10.0;1;1;55.0;52.0;7;2;57.155;24.857778
23000.0;1;3;427.3;1327.5;4630.0;1962;30.0;3;3;29.2;29.2;4;1;57.0925;24.546389
5000.0;1;6;477.5;2214.9;7210.0;1990;40.0;4;4;55.4;52.2;7;2;56.787222;23.941944
53000.0;1;5;817.2;3402.1;11306.0;1965;28.0;5;5;45.7;43.1;7;2;57.076944;24.323611
13614.0;1;6;477.1;2232.4;7262.0;1989;15.0;3;3;54.1;51.1;7;2;56.787222;23.941944
49500.0;1;4;965.4;3187.9;11207.0;1981;25.0;2;2;52.6;51.0;7;2;56.723056;24.805833
19000.0;1;5;869.5;5098.9;16031.0;1980;15.0;2;2;42.8;35.0;7;1;56.787222;23.941944
29000.0;1;6;676.6;3304.5;10901.0;1985;20.0;4;4;54.8;51.7;7;2;56.787222;23.941944
11500.0;1;2;549.4;546.0;2064.0;1900;60.0;1;1;47.8;47.8;3;2;57.076944;24.323611
17000.0;1;4;586.5;1857.2;7155.0;1969;30.0;2;2;30.0;30.0;4;1;57.155;24.857778
31500.0;1;4;695.0;2754.7;9348.0;1969;25.0;1;1;26.0;26.0;4;1;57.155;24.857778
16900.0;1;5;974.5;4757.0;14955.0;1980;15.0;1;1;30.1;30.1;6;1;56.723056;24.805833
35000.0;1;4;1540.3;5679.2;21039.0;1981;27.0;3;3;43.6;36.4;6;1;57.155;24.857778
160000.0;1;4;2029.3;6282.6;23701.0;2008;19.0;3;3;74.9;71.6;6;3;56.900833;24.047778
32000.0;1;4;515.3;1946.6;6989.0;1987;15.0;4;4;39.4;39.4;4;1;57.155;24.857778
210000.0;1;2;428.4;669.6;2341.0;2007;0.0;1;2;222.4;215.1;13;4;56.900833;24.047778
65900.0;1;3;842.9;1972.5;6807.0;1969;34.0;2;2;58.1;58.1;5;3;57.155;24.857778
118000.0;1;4;1825.7;5625.1;21383.0;2006;14.0;3;3;75.4;72.2;7;3;56.900833;24.047778
22000.0;1;2;266.9;389.9;1574.0;1945;60.0;1;1;43.5;43.5;7;2;56.858611;24.349722
70000.0;1;5;453.8;1863.2;6093.0;1991;26.0;4;4;69.6;62.6;8;3;56.858611;24.349722
20000.0;1;2;200.4;265.6;1005.0;1860;40.0;1;1;34.5;34.5;3;1;56.836667;24.496111
14666.67;1;4;849.4;3291.6;11187.0;1977;30.0;2;2;53.8;50.6;8;2;57.155;24.857778
42000.0;1;5;1128.7;4855.2;19037.0;1979;30.0;2;2;54.4;50.8;10;2;57.155;24.857778
45500.0;1;2;292.2;431.0;1812.0;1956;40.0;2;2;61.5;61.5;8;3;57.155;24.857778
17500.0;1;5;714.4;3609.8;11203.0;1973;17.0;1;1;36.3;36.3;5;2;57.0925;24.546389
15000.0;2;2;167.0;289.2;1005.0;1959;50.0;1;1;24.5;24.5;2;1;57.155;24.857778
25000.0;1;5;1344.0;7228.7;22037.0;1980;17.0;2;2;38.8;36.2;6;2;56.858611;24.349722
78700.0;1;5;1123.0;5360.5;16282.0;2008;13.0;3;3;60.3;60.3;4;2;56.836667;24.496111
70000.0;1;10;314.2;2540.7;8788.0;1990;15.0;5;5;64.3;61.7;9;3;56.787222;23.941944
65000.0;1;4;868.0;3330.2;11556.0;1975;29.0;3;3;54.0;50.6;9;2;57.155;24.857778
64900.0;1;9;1165.1;9183.3;31403.0;2006;17.0;5;5;55.1;51.1;8;2;56.787222;23.941944
70000.0;1;3;1269.0;4051.9;13104.0;1978;30.0;2;2;75.5;68.3;12;3;57.155;24.857778
10800.0;1;3;421.6;1291.8;4594.0;1962;30.0;2;2;29.0;29.0;4;1;57.0925;24.546389
35000.0;1;5;879.6;3236.9;13163.0;1977;15.0;1;1;63.0;60.1;5;3;56.723056;24.805833
15800.0;1;2;546.3;1325.2;4147.0;1975;31.0;2;2;54.3;47.1;9;2;57.155;24.857778
5000.0;1;2;549.4;546.0;2064.0;1900;60.0;2;2;30.6;30.6;1;1;57.076944;24.323611
5000.0;1;2;549.4;546.0;2064.0;1900;60.0;2;2;27.9;27.9;1;1;57.076944;24.323611
115000.0;1;5;640.2;2946.0;10371.0;1993;24.0;5;5;98.3;98.3;9;2;57.155;24.857778
115000.0;2;4;2771.0;8428.2;29618.0;2007;13.0;3;3;74.0;68.5;4;2;56.900833;24.047778
150000.0;1;3;1928.3;3947.6;14853.0;2006;13.0;2;2;75.5;72.4;6;3;56.900833;24.047778
40000.0;1;5;872.7;3993.5;13564.0;1975;30.0;1;1;35.3;35.3;5;1;57.155;24.857778
44700.0;1;9;660.3;4777.7;17268.0;1990;5.0;6;6;50.3;46.4;7;2;56.787222;23.941944
37000.0;1;3;1002.8;3035.0;10226.0;1983;15.0;3;3;43.6;36.0;5;1;57.155;24.857778
8500.0;1;5;601.7;2918.2;9423.0;1980;15.0;1;1;26.7;26.7;5;1;56.723056;24.805833
35000.0;1;4;1540.3;5679.2;21039.0;1981;27.0;3;3;37.2;37.2;4;1;57.155;24.857778
