Darījuma datums;Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums
19.12.2019;46000.0;33.57;1;9;1843.2;14369.7;46510.0;1983;15;9;9;49.3;48.1;7;2;56.9553072;24.1962533
18.12.2019;105000.0;93.61;1;5;1438.5;5337.7;17524.0;2019;0;1;1;61.1;61.1;6;3;56.9556183;24.1854622
18.12.2019;47881.0;15.32;1;5;1548.0;6246.9;28091.0;1904;35;2;2;42.8;42.8;5;2;56.9440245;24.0794221
03.01.2020;25500.0;58.5;1;5;1356.6;4336.3;18711.0;1956;40;2;3;45.9;45.9;4;1;56.9816231;24.1949624
03.01.2020;24500.0;52.0;1;5;1356.6;4336.3;18711.0;1956;40;2;2;40.8;40.8;4;2;56.9816231;24.1949624
03.01.2020;43000.0;179.16;1;2;200.6;396.6;1517.0;1929;55;2;2;45.6;45.6;6;2;56.987718;24.2222466
28.12.2016;9400.0;28.21;2;3;262.7;623.5;2289.0;1910;55;2;2;26.0;26.0;3;1;56.9940344;24.1261596
03.01.2020;45000.0;135.71;1;5;638.0;3218.4;9742.0;1970;20;2;2;76.5;65.2;10;3;56.9710573;24.0586418
18.12.2019;63000.0;43.34;3;7;2024.1;9505.2;41792.0;2006;0;4;4;58.5;42.1;5;1;56.9090109;24.0784563
07.01.2020;53000.0;65.52;1;5;1157.0;4910.8;16883.0;1985;20;1;1;66.7;60.4;8;3;57.0271215;24.0530514
18.12.2019;111000.0;97.47;1;9;444.0;3033.0;11255.0;2019;0;2;2;63.8;59.8;6;3;56.9694342;24.2369351
30.12.2019;9000.0;59.4;2;2;285.2;498.6;1883.0;1875;45;1;1;32.1;32.1;5;1;56.9220363;24.0915934
20.12.2019;120000.0;129.46;1;5;1438.5;5337.7;17524.0;2019;0;1;1;84.5;80.8;10;4;56.9556183;24.1854622
03.01.2020;52000.0;78.43;1;12;489.5;4417.3;16815.0;1978;20;8;8;45.0;45.0;6;2;56.9726228;24.1315581
19.12.2019;22350.0;9.09;1;6;662.8;3314.4;14696.0;1912;32;6;6;22.3;22.3;2;1;56.9672021;24.1496744
06.01.2020;45500.0;92.23;1;5;652.6;3181.7;9901.0;1978;15;3;3;49.3;48.3;8;2;56.953969;24.201443
21.12.2019;89000.0;104.26;1;4;2453.5;8025.4;25556.0;2004;0;1;1;63.9;63.9;5;1;56.942328;24.0049275
07.01.2020;50000.0;80.21;1;9;958.7;7398.0;24939.0;1985;20;6;6;75.3;71.6;11;4;56.9536014;24.197119
07.01.2020;35000.0;42.65;1;5;882.7;4599.3;13891.0;1961;20;2;2;43.5;43.5;5;2;56.9626889;24.0484116
07.01.2020;25000.0;54.89;1;5;1406.7;6765.4;22973.0;1965;30;5;5;48.7;45.6;7;2;56.9027462;24.2039144
12.12.2019;20000.0;145.13;5;2;229.1;394.7;1646.0;1900;70;2;2;58.5;58.5;4;2;56.970486;24.1635493
02.01.2020;37000.0;19.44;1;7;365.2;1801.8;6918.0;1989;5;1;1;36.8;36.8;5;1;56.9722476;24.1366867
30.12.2019;70763.0;24.09;1;5;1548.0;6246.9;28091.0;1904;35;3;3;67.3;65.2;7;3;56.9440245;24.0794221
23.12.2019;5800.0;171.66;3;2;146.4;183.8;668.0;1953;35;1;1;29.5;29.5;2;1;57.0406282;24.0377259
19.12.2019;74987.8;54.15;1;5;1121.9;4798.7;16170.0;2017;0;2;2;53.4;47.9;4;2;56.9383475;24.2235272
12.08.2019;2101.0;72.9;2;2;167.9;311.7;1129.0;1908;60;2;2;20.6;20.6;2;1;56.9858778;24.1714858
18.12.2019;55000.0;27.26;1;6;971.2;4627.9;20766.0;1901;65;6;6;79.2;79.2;9;3;56.9389495;24.1332429
08.10.2019;75000.0;41.73;3;5;800.0;3469.8;15153.0;1900;55;5;5;104.0;97.4;13;4;56.9415115;24.1298826
30.12.2019;77732.0;45.22;3;9;486.6;4102.3;13212.0;2008;0;5;5;57.9;53.4;4;2;56.9521112;24.0002292
03.01.2020;95000.0;35.26;1;4;1503.7;5574.9;23775.0;1911;50;3;3;66.5;66.5;7;3;56.9525243;24.1400411
23.12.2019;7000.0;78.65;3;4;495.3;1631.0;7217.0;1951;50;4;4;57.7;57.7;7;2;56.9677988;24.1025655
03.01.2020;41000.0;57.96;1;5;942.4;5010.5;14611.0;1964;40;2;2;46.5;44.0;6;2;56.913862;24.1734976
06.01.2020;53500.0;63.21;1;5;999.5;4852.2;15579.0;1967;35;4;4;66.4;65.0;10;3;56.9531566;24.0527497
06.01.2020;17000.0;10.92;1;9;647.9;4918.3;15763.0;1981;20;1;1;32.7;30.2;7;1;57.0334577;24.1033642
20.12.2019;102800.0;48.96;1;5;1608.9;6955.6;23495.0;2019;0;2;2;59.4;54.9;4;2;56.9556201;24.0534049
07.01.2020;25000.0;29.88;1;5;741.4;3963.9;12334.0;1972;10;1;1;50.7;44.7;7;2;56.9148761;24.0959435
12.11.2019;6300.0;28.88;1;5;654.2;2571.0;9128.0;1968;18;2;2;18.3;18.3;1;1;56.9921122;24.2287777
09.01.2020;26000.0;54.57;1;5;1026.0;4914.0;15607.0;1979;15;5;5;48.0;46.8;8;2;56.9511312;24.198465
27.12.2019;24250.0;41.77;1;6;781.1;4588.5;14394.0;1984;35;3;3;43.4;35.8;7;1;57.0269742;24.042278
09.12.2019;41000.0;13.84;4;4;48.3;149.9;737.0;1898;45;2;2;22.5;22.5;4;1;56.9526735;24.1317454
09.12.2019;38000.0;13.18;4;4;48.3;149.9;737.0;1898;45;3;3;22.4;22.4;4;1;56.9526735;24.1317454
09.12.2019;37000.0;14.15;4;4;48.3;149.9;737.0;1898;45;4;4;22.2;22.2;5;1;56.9526735;24.1317454
30.12.2019;20000.0;39.11;1;14;456.6;4738.0;17251.0;1973;25;3;3;35.6;35.6;4;1;56.9883629;24.2366467
