Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
36500.0;1;5;7628.0;1967;26.0;38.2;6;2;1.0;2024;0;0;0;1;56.9537953;24.0463023
49500.0;1;5;6117.3;1985;28.0;54.1;7;2;4.0;2024;0;0;0;1;56.9416302;24.0393162
35000.0;1;16;7006.0;1981;30.0;45.6;5;1;12.0;2024;0;0;0;1;56.9666299;24.236896
30000.0;1;5;9246.4;1985;26.0;54.2;7;2;5.0;2024;0;0;0;1;57.0362736;24.0243314
6800.0;1;10;6438.5;1988;28.0;36.8;7;1;9.0;2024;0;0;0;1;56.9409798;24.2257229
30000.0;1;5;3305.7;1966;31.0;45.8;6;2;1.0;2024;0;0;0;1;56.9584608;24.2933013
27963.0;1;5;3416.2;1967;27.0;25.8;5;1;2.0;2024;0;0;0;1;56.9376864;24.0430182
58000.0;1;7;3726.2;1985;25.0;78.3;11;4;6.0;2024;0;0;0;1;56.9327596;24.2112312
82000.0;1;5;18366.9;2007;11.0;91.0;7;4;1.0;2024;0;0;0;1;56.9562778;24.2433428
35000.0;1;10;7278.7;1974;30.0;61.5;8;3;3.0;2024;0;0;0;1;56.9609824;24.0036912
42000.0;1;9;8217.3;1987;28.0;50.7;8;2;1.0;2024;0;0;0;1;56.9418149;24.2285131
24500.0;1;5;3641.7;1964;28.0;30.6;4;1;2.0;2024;0;0;0;1;56.912499;24.1844303
47000.0;1;10;7337.2;1995;26.0;51.5;8;2;9.0;2024;0;0;0;1;56.9033008;24.0965273
46900.0;1;9;7326.9;1974;30.0;62.1;9;3;5.0;2023;0;0;0;1;56.929102;24.1765898
36000.0;1;3;1101.0;1958;20.0;37.2;4;1;3.0;2024;0;0;0;1;56.9654506;24.1700694
42000.0;1;10;9908.7;1985;28.0;51.8;8;2;4.0;2024;0;0;0;1;56.9389779;24.2110222
20500.0;1;3;697.4;1928;45.0;31.3;4;1;2.0;2024;0;0;0;1;57.0444179;24.1730654
25000.0;1;9;4896.6;1979;40.0;33.3;7;1;6.0;2024;0;0;0;1;56.9673417;24.2334463
23000.0;1;5;4926.1;1968;30.0;54.3;9;3;1.0;2024;0;0;0;1;56.9067626;24.2030938
80600.0;1;5;4032.5;1975;25.0;66.3;10;3;4.0;2024;0;0;0;1;56.9579927;24.1924513
15200.0;1;5;6912.4;1984;15.0;42.9;5;1;4.0;2024;0;0;0;1;57.0019584;24.1200082
65000.0;1;5;4066.6;1973;10.0;55.1;6;2;4.0;2024;0;0;0;1;56.9360822;24.0425354
65000.0;1;5;3371.4;1981;15.0;54.5;8;2;2.0;2024;0;0;0;1;56.968351;24.1768565
2200.0;2;2;149.0;1880;80.0;22.7;2;1;1.0;2024;0;0;0;1;56.9318019;24.1573534
63400.0;1;10;24002.6;1994;26.0;78.6;13;3;2.0;2024;0;0;0;1;56.900682;24.0839571
40000.0;1;10;7400.6;1976;31.0;50.6;8;2;2.0;2024;0;0;0;1;56.9685989;24.0122469
46500.0;2;9;10057.8;1972;25.0;50.9;7;2;6.0;2024;0;0;0;1;56.9246546;24.1659671
49900.0;1;10;7489.6;1977;31.0;63.9;11;3;3.0;2024;0;0;0;1;56.9583291;24.0043187
42000.0;1;9;9142.2;1972;25.0;50.4;7;2;9.0;2023;0;0;0;1;56.9595439;24.1798896
32000.0;1;13;4419.6;1972;30.0;35.7;4;1;8.0;2024;0;0;0;1;56.9509735;24.0497749
113000.0;1;5;2112.9;2013;0.0;76.1;6;3;4.0;2023;0;0;0;1;56.9584684;24.2557288
5000.0;8;3;1347.9;1921;60.0;33.9;2;1;2.0;2023;0;0;0;1;56.9801924;24.0846097
62500.0;1;10;2464.2;1980;25.0;60.9;10;3;6.0;2024;0;0;0;1;56.9669576;24.2355541
14200.0;1;5;7668.6;1968;29.0;49.2;8;2;5.0;2024;0;0;0;1;56.9078049;24.1995712
19000.0;1;5;7685.4;1970;30.0;27.7;4;1;5.0;2024;0;0;0;1;56.9678967;24.0528931
34000.0;1;13;4972.2;1987;28.0;35.3;5;1;11.0;2024;0;0;0;1;56.8990769;24.0831344
32000.0;1;5;4566.0;1963;25.0;46.4;7;2;5.0;2024;0;0;0;1;56.967004;24.1800024
97000.0;1;6;4453.1;2006;0.0;144.7;11;5;1.0;2023;0;1;0;0;56.964005;24.1726397
24500.0;1;5;4995.3;1969;20.0;27.2;4;1;5.0;2024;0;0;0;1;56.9712436;24.0638452
40000.0;1;9;13469.0;1973;31.0;49.2;8;2;4.0;2024;0;0;0;1;56.9578862;24.1716962
64000.0;1;5;2612.5;1965;30.0;55.7;5;3;4.0;2024;0;0;0;1;56.9397457;24.1341856
27950.0;1;10;9889.9;1984;10.0;33.0;6;1;5.0;2024;0;0;0;1;56.9369563;24.205857
7275.0;1;3;1288.4;1961;30.0;27.9;4;1;2.0;2023;0;0;0;1;56.9393666;24.0380683
24500.0;1;3;2228.0;1960;25.0;52.6;7;2;2.0;2023;0;0;0;1;57.0366952;24.0891839
19050.0;2;3;428.6;1925;60.0;36.8;3;2;1.0;2023;0;0;0;1;56.938634;24.0994596
150000.0;1;5;2112.9;2013;0.0;87.7;8;4;2.0;2024;0;0;0;1;56.9584684;24.2557288
24900.0;1;5;5319.9;1967;30.0;45.3;7;2;2.0;2024;0;0;0;1;56.9208202;24.1766231
35709.8;1;9;7389.0;1978;30.0;64.7;11;3;3.0;2023;0;1;0;0;56.9594509;24.2376314
27500.0;1;5;4429.7;1975;30.0;42.7;7;1;1.0;2024;0;0;0;1;56.9172244;24.0997055
32000.0;1;5;3567.5;1967;33.0;37.2;6;2;2.0;2024;0;0;0;1;56.9182908;24.1748723
15000.0;1;5;4953.1;1972;20.0;27.1;4;1;1.0;2024;0;0;0;1;56.9535048;24.0330208
