Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
5350.0;152.86;2;2;254.2;1910;60.0;52.2;3;1;57.246667;22.588611;1.0;2024;1;0;0;0
2440.0;69.7;2;2;254.2;1910;60.0;23.7;2;1;57.246667;22.588611;2.0;2024;1;0;0;0
29000.0;17.04;1;5;3122.2;1980;45.0;52.2;7;2;56.968611;21.971667;4.0;2024;1;0;0;0
20000.0;43.64;1;5;4797.0;1984;15.0;66.1;9;3;56.68;22.568333;1.0;2024;1;0;0;0
4110.0;117.72;2;2;254.2;1910;60.0;40.1;5;1;57.246667;22.588611;2.0;2024;1;0;0;0
20000.0;56.94;1;3;873.1;1973;30.0;26.7;4;1;56.966667;23.153333;1.0;2024;1;0;0;0
12600.0;80.61;1;3;1324.5;1968;28.0;40.5;5;2;56.535;21.166111;3.0;2024;1;0;0;0
33000.0;65.1;1;5;2935.3;1977;40.0;53.9;9;2;57.0375;22.775;5.0;2024;1;0;0;0
19900.0;117.94;1;3;1169.3;1974;25.0;28.1;4;1;56.535;21.166111;3.0;2024;1;0;0;0
20200.0;104.04;1;5;3085.4;1986;5.0;45.2;6;2;56.966667;23.153333;1.0;2024;1;0;0;0
50000.0;44.06;1;6;3309.7;1976;30.0;47.5;6;2;56.966667;23.153333;2.0;2024;1;0;0;0
19000.0;55.23;1;5;3873.1;1978;20.0;34.0;4;1;56.666389;22.493611;3.0;2024;1;0;0;0
7650.0;12.32;1;3;1941.6;1983;15.0;65.6;7;3;56.968611;21.971667;2.0;2022;0;0;0;1
12740.0;169.43;2;2;439.0;1960;40.0;32.2;3;1;56.666389;22.493611;2.0;2023;0;1;0;0
47000.0;254.16;1;2;275.2;1890;70.0;56.2;5;3;56.968611;21.971667;1.0;2024;1;0;0;0
9000.0;46.31;7;2;662.6;1870;55.0;21.1;4;1;56.968611;21.971667;1.0;2024;1;0;0;0
48000.0;413.34;3;2;288.2;1890;65.0;76.7;8;3;56.968611;21.971667;2.0;2024;1;0;0;0
22500.0;95.04;3;4;1708.4;1960;18.0;39.1;5;2;56.666389;22.493611;3.0;2024;1;0;0;0
3000.0;44.3;1;2;183.3;1918;50.0;37.0;5;2;57.0375;22.775;1.0;2024;1;0;0;0
39000.0;41.48;1;4;4657.9;1966;20.0;40.4;5;2;56.966667;23.153333;1.0;2024;1;0;0;0
3000.0;68.93;1;5;3523.2;1977;15.0;45.8;7;2;56.68;22.568333;3.0;2024;1;0;0;0
3000.0;537.66;3;3;399.8;1920;40.0;36.6;2;1;57.246667;22.588611;3.0;2024;1;0;0;0
36000.0;88.99;1;5;5207.4;1985;31.0;63.4;8;3;56.68;22.568333;3.0;2024;1;0;0;0
28500.0;20.13;1;3;1318.3;1976;30.0;38.3;4;1;56.968611;21.971667;2.0;2024;1;0;0;0
31000.0;17.43;1;5;4041.3;1984;28.0;51.1;7;2;56.968611;21.971667;2.0;2024;1;0;0;0
29000.0;36.58;1;5;2538.9;1970;30.0;45.4;6;2;57.246667;22.588611;1.0;2024;1;0;0;0
2400.0;41.92;1;5;4169.8;1983;20.0;42.1;6;1;56.68;22.568333;3.0;2014;1;0;0;0
20000.0;68.99;1;3;1318.6;1964;35.0;29.6;5;1;57.246667;22.588611;1.0;2024;1;0;0;0
30000.0;59.86;1;6;3123.9;1978;30.0;53.4;7;2;57.246667;22.588611;2.5;2024;1;0;0;0
36000.0;276.59;6;3;640.1;1901;60.0;80.9;5;2;56.968611;21.971667;1.0;2024;1;0;0;0
2000.0;209.37;2;2;247.3;1950;55.0;24.8;3;1;56.666389;22.493611;1.0;2024;1;0;0;0
28600.0;36.94;1;6;7190.1;1980;29.0;46.8;6;2;56.966667;23.153333;5.0;2024;1;0;0;0
6000.0;56.74;1;5;3523.5;1977;15.0;37.7;6;2;56.68;22.568333;5.0;2024;1;0;0;0
6875.0;158.62;3;2;202.5;1886;55.0;24.2;3;1;56.966667;23.153333;1.0;2024;1;0;0;0
18000.0;23.75;1;5;3404.8;1968;25.0;25.9;4;1;56.966667;23.153333;5.0;2024;1;0;0;0
30000.0;275.64;1;2;311.1;1890;65.0;74.9;8;2;56.968611;21.971667;1.0;2024;1;0;0;0
60000.0;217.13;1;2;311.1;1890;65.0;59.0;5;2;56.968611;21.971667;2.0;2024;1;0;0;0
43000.0;22.41;1;5;3087.8;1980;40.0;71.5;8;3;56.968611;21.971667;1.0;2024;1;0;0;0
34000.0;106.49;1;3;1151.7;1972;30.0;58.1;7;2;57.246667;22.588611;2.0;2024;0;0;1;0
35000.0;268.25;2;2;188.5;1983;25.0;49.6;6;2;56.968611;21.971667;1.0;2024;0;0;1;0
62000.0;53.36;1;5;3364.0;1967;33.0;49.4;5;3;56.966667;23.153333;4.0;2024;1;0;0;0
5000.0;72.48;1;2;287.4;1948;50.0;37.4;2;1;56.666389;22.493611;1.0;2024;0;0;1;0
1500.0;264.42;3;3;399.8;1920;40.0;18.0;1;1;57.246667;22.588611;3.0;2024;0;0;1;0
4150.0;30.77;1;2;1328.7;1960;33.0;19.2;3;1;57.0375;22.775;2.0;2024;1;0;0;0
2530.0;47.91;1;2;268.2;1860;40.0;16.8;1;1;57.0375;22.775;2.0;2023;0;0;0;1
50000.0;218.52;2;3;1612.1;1995;10.0;73.4;6;3;56.535;21.166111;1.0;2024;0;0;1;0
1500.0;151.66;2;2;225.1;1876;45.0;69.1;10;3;56.966667;23.153333;0.0;2024;0;0;1;0
40000.0;17.75;1;5;3416.8;1970;30.0;59.9;8;3;56.968611;21.971667;2.0;2024;0;0;1;0
27000.0;32.49;1;6;7095.1;1985;28.0;33.8;5;1;56.966667;23.153333;3.0;2024;0;0;1;0
37000.0;43.99;1;5;3364.0;1967;33.0;47.9;7;2;56.966667;23.153333;2.0;2024;1;0;0;0
22100.0;33.52;1;5;3188.1;1967;30.0;46.8;5;2;56.966667;23.153333;4.0;2024;1;0;0;0
30000.0;68.81;1;4;2789.4;1975;35.0;38.9;4;2;56.666389;22.493611;3.0;2024;0;0;1;0
16000.0;61.09;3;3;643.4;1880;43.0;21.8;6;1;56.968611;21.971667;1.0;2024;0;0;1;0
7000.0;21.53;1;5;4107.0;1975;55.0;67.0;8;3;56.968611;21.971667;4.0;2024;0;0;1;0
26973.71;53.25;1;5;4745.6;1980;20.0;49.3;9;2;56.966667;23.153333;2.0;2024;1;0;0;0
