Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
138665.0;130.23;1;5;5337.7;2019;0;85.0;10;4;4.0;2019;0;0;0;1;56.9556183;24.1854622
75000.0;21.14;1;9;11940.4;2017;0;41.3;4;2;4.0;2019;0;0;0;1;56.9886702;24.1689025
101711.6;42.9;1;9;3917.5;2019;0;60.2;6;2;6.0;2019;0;0;0;1;56.9519907;24.0048332
124000.0;17.44;1;8;15614.8;2018;0;55.8;3;2;2.0;2019;0;0;0;1;56.9657079;24.1052027
117500.0;99.44;1;5;5337.7;2019;0;64.9;7;3;2.0;2019;0;0;0;1;56.9556183;24.1854622
111777.0;62.4;1;5;6246.9;1904;35;170.7;14;5;3.0;2019;0;0;0;1;56.9440245;24.0794221
44000.0;13.62;1;7;3052.6;1929;45;132.3;14;6;5.0;2019;0;0;0;1;56.951605;24.1264936
26000.0;40.81;1;5;5115.3;1967;25;45.2;6;2;1.0;2019;0;1;0;0;56.979111;24.1699016
20000.0;44.36;1;5;5317.8;1970;35;46.6;7;2;2.0;2019;0;0;0;1;56.9001271;24.2041708
46900.0;92.32;1;5;3188.7;1971;30;68.1;9;3;3.0;2019;0;0;0;1;56.969946;24.052034
44000.0;45.18;1;5;3109.8;1969;30;42.7;6;2;5.0;2019;0;0;0;1;56.9868844;24.2162039
16600.0;99.69;6;2;320.2;1885;60;24.5;2;1;2.0;2019;0;0;0;1;57.0012043;24.1198717
70000.0;20.22;3;6;3524.1;1914;35;49.1;3;2;6.0;2019;0;0;0;1;56.9647163;24.1414536
32000.0;36.12;1;9;3672.0;1989;5;44.9;5;1;4.0;2019;0;0;0;1;56.9010982;24.0954095
94600.0;46.08;1;5;6955.6;2019;0;55.9;4;2;2.0;2019;0;0;0;1;56.9556201;24.0534049
40000.0;49.27;6;5;1425.5;1910;55;40.6;4;2;3.0;2019;0;0;0;1;56.9339579;24.0767791
54500.0;50.45;1;4;1219.2;2009;0;38.0;3;2;2.0;2019;0;0;0;1;56.9398803;24.14181
50000.0;54.01;1;14;4803.8;1974;25;73.7;10;3;9.0;2019;0;0;0;1;56.986114;24.2269114
35000.0;55.39;1;10;5179.9;1976;20;50.6;7;2;8.0;2019;0;0;0;1;57.0167349;24.1325222
10000.0;26.83;1;2;1136.3;1900;60;21.8;2;1;2.0;2019;0;0;0;1;56.9933915;24.1276192
96500.0;77.07;1;5;5337.7;2019;0;50.3;6;3;4.0;2019;0;0;0;1;56.9556183;24.1854622
90500.0;76.45;1;5;5337.7;2019;0;49.9;4;2;2.0;2019;0;0;0;1;56.9556183;24.1854622
98000.0;62.98;1;5;4190.2;2019;0;52.9;4;2;4.0;2019;0;0;0;1;56.9555114;24.1825157
92000.0;101.73;1;5;5337.7;2019;0;66.4;7;3;4.0;2019;0;0;0;1;56.9556183;24.1854622
5000.0;98.94;7;2;346.0;1915;55;19.7;2;1;2.0;2019;0;1;0;0;56.9214414;24.0933473
5000.0;56.46;6;2;518.4;1900;65;19.9;2;1;2.0;2019;0;1;0;0;56.9923881;24.1274745
218370.06;137.23;1;4;1717.2;2019;0;124.2;7;2;4.0;2019;0;0;0;1;56.9409497;24.0621428
235000.0;48.62;1;10;16152.9;2014;0;113.2;9;4;8.0;2019;0;0;0;1;56.9710469;24.1237162
7200.0;22.94;1;4;3013.4;1961;30;12.4;4;1;4.0;2019;0;0;0;1;57.0298932;24.1000913
32950.0;12.08;2;5;1134.3;1912;50;26.3;3;1;4.0;2019;0;1;0;0;56.9564799;24.1463196
129600.0;63.3;1;5;6955.6;2019;0;76.8;7;3;3.0;2019;0;0;0;1;56.9556201;24.0534049
96500.0;76.3;1;5;5337.7;2019;0;49.8;6;3;2.0;2019;0;0;0;1;56.9556183;24.1854622
73000.0;73.54;1;5;5337.7;2019;0;48.0;4;2;3.0;2019;0;0;0;1;56.9556183;24.1854622
15000.0;48.31;1;5;2222.7;1972;20;48.7;7;2;1.0;2019;0;0;0;1;56.9571384;24.0328038
5000.0;61.19;6;2;518.4;1900;65;21.7;2;1;1.0;2020;0;0;0;1;56.9923881;24.1274745
64500.0;19.63;4;5;2143.2;1880;24;41.8;3;1;0.0;2019;0;0;1;0;56.962974;24.1281688
48900.0;39.32;1;5;6074.1;1951;30;45.6;6;2;5.0;2019;0;0;0;1;56.9962497;24.1232233
142370.06;89.94;1;4;1717.2;2019;0;81.4;5;3;1.0;2019;0;0;0;1;56.9409497;24.0621428
151000.0;61.86;1;9;3030.0;2019;0;87.7;6;3;6.0;2019;0;0;0;1;56.9692355;24.2377072
164740.06;86.95;1;4;1717.2;2019;0;78.7;5;3;2.0;2019;0;0;0;1;56.9409497;24.0621428
56500.0;94.41;1;5;4011.8;1969;30;67.5;8;3;1.0;2019;0;0;0;1;56.9700323;24.0662584
103500.0;102.96;1;5;5337.7;2019;0;67.2;7;3;2.0;2019;0;0;0;1;56.9556183;24.1854622
124000.0;46.84;1;9;3030.0;2019;0;66.4;6;3;8.0;2019;0;0;0;1;56.9692355;24.2377072
117500.0;63.22;1;5;6955.6;2019;0;76.7;7;3;1.0;2019;0;0;0;1;56.9556201;24.0534049
184000.0;77.66;1;9;3030.0;2019;0;110.1;8;4;9.0;2019;0;0;0;1;56.9692355;24.2377072
46000.0;33.57;1;9;14369.7;1983;15;49.3;7;2;9.0;2019;0;0;0;1;56.9553072;24.1962533
105000.0;93.61;1;5;5337.7;2019;0;61.1;6;3;1.0;2019;0;0;0;1;56.9556183;24.1854622
47881.0;15.32;1;5;6246.9;1904;35;42.8;5;2;2.0;2019;0;0;0;1;56.9440245;24.0794221
25500.0;58.5;1;5;4336.3;1956;40;45.9;4;1;2.5;2020;0;0;0;1;56.9816231;24.1949624
24500.0;52.0;1;5;4336.3;1956;40;40.8;4;2;2.0;2020;0;0;0;1;56.9816231;24.1949624
43000.0;179.16;1;2;396.6;1929;55;45.6;6;2;2.0;2020;0;0;0;1;56.987718;24.2222466
9400.0;28.21;2;3;623.5;1910;55;26.0;3;1;2.0;2016;0;0;0;1;56.9940344;24.1261596
45000.0;135.71;1;5;3218.4;1970;20;76.5;10;3;2.0;2020;0;0;0;1;56.9710573;24.0586418
63000.0;43.34;3;7;9505.2;2006;0;58.5;5;1;4.0;2019;0;0;0;1;56.9090109;24.0784563
53000.0;65.52;1;5;4910.8;1985;20;66.7;8;3;1.0;2020;0;0;0;1;57.0271215;24.0530514
111000.0;97.47;1;9;3033.0;2019;0;63.8;6;3;2.0;2019;0;0;0;1;56.9694342;24.2369351
9000.0;59.4;2;2;498.6;1875;45;32.1;5;1;1.0;2019;0;0;0;1;56.9220363;24.0915934
120000.0;129.46;1;5;5337.7;2019;0;84.5;10;4;1.0;2019;0;0;0;1;56.9556183;24.1854622
52000.0;78.43;1;12;4417.3;1978;20;45.0;6;2;8.0;2020;0;0;0;1;56.9726228;24.1315581
22350.0;9.09;1;6;3314.4;1912;32;22.3;2;1;6.0;2019;0;0;0;1;56.9672021;24.1496744
45500.0;92.23;1;5;3181.7;1978;15;49.3;8;2;3.0;2020;0;0;0;1;56.953969;24.201443
