Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
133800.0;37.08;3;6;1567.9;1927;40.0;89.2;10;4;3.0;2024;0;0;0;1;56.9564281;24.1291829
3500.0;26.9;1;5;2571.0;1968;18.0;35.4;2;2;5.0;2023;1;0;0;0;56.9921122;24.2287777
151300.0;36.99;3;6;1456.4;1927;40.0;89.0;8;3;6.0;2024;0;0;0;1;56.9562518;24.1288073
132000.0;51.48;1;6;3165.9;2022;0.0;68.4;6;3;4.0;2023;0;0;0;1;56.9171244;24.1041977
119000.0;19.04;1;8;8925.9;2022;0.0;41.5;5;2;1.0;2024;0;0;0;1;56.9576206;24.1367237
33000.0;51.94;1;5;4945.0;1968;30.0;55.9;9;3;5.0;2023;0;0;0;1;56.9057126;24.1973557
10500.0;40.21;3;4;2469.1;1959;33.0;19.0;1;1;4.0;2024;0;0;0;1;56.9358491;24.153855
120000.0;92.96;1;4;2356.4;2019;0.0;64.9;5;3;4.0;2024;0;0;0;1;56.9127436;24.1178535
30000.0;61.41;1;5;3718.1;1965;30.0;45.3;7;2;4.0;2024;0;0;0;1;56.9811896;24.2511562
66500.0;90.31;1;5;3531.3;1963;31.0;54.1;7;3;2.0;2024;0;0;0;1;56.9781846;24.1713918
40000.0;70.76;1;5;2299.4;1964;31.0;42.0;5;2;4.0;2024;0;0;0;1;56.9484599;24.050286
17500.0;73.8;2;2;482.9;1900;40.0;14.7;1;1;1.0;2024;0;0;0;1;56.973205;24.1112281
2000.0;9.01;2;5;1340.5;1913;65.0;17.6;2;1;2.0;2024;0;0;0;1;56.9448754;24.1403928
48000.0;32.68;2;6;2145.1;1900;31.0;52.8;7;3;3.0;2024;0;0;0;1;56.9363392;24.1554882
37000.0;43.69;1;5;4018.4;1970;33.0;48.9;7;2;4.0;2024;0;0;0;1;56.96889;24.0516739
80000.0;38.17;1;11;6875.8;2004;12.0;49.4;6;2;8.0;2024;0;0;0;1;57.0093085;24.1277625
50000.0;77.28;1;9;2429.1;1979;31.0;50.3;10;2;6.0;2024;0;0;0;1;56.9485668;24.1651579
15000.0;59.05;1;9;3387.9;1988;5.0;38.7;6;1;5.0;2024;0;0;0;1;57.0385475;24.0962011
192000.0;35.4;1;5;13748.4;2007;0.0;86.5;5;2;3.0;2024;0;0;0;1;56.9590978;24.0828538
30900.0;35.97;1;13;5109.7;1970;31.0;36.9;5;1;9.0;2024;0;0;0;1;56.9141098;24.1684236
35000.0;55.01;1;5;3413.4;1964;30.0;41.7;5;2;2.0;2024;0;0;0;1;56.9693748;24.1847486
95000.0;65.02;1;6;3165.9;2022;0.0;86.4;7;4;5.0;2023;0;0;0;1;56.9171244;24.1041977
48900.0;39.11;1;9;2417.9;1973;30.0;63.5;9;3;9.0;2024;0;0;0;1;56.9311698;24.1773794
12000.0;34.54;3;4;922.7;1966;25.0;22.7;4;1;2.0;2024;0;0;0;1;56.9303615;24.0771124
15000.0;48.85;1;3;1180.7;1960;27.0;28.3;4;1;1.0;2024;0;0;0;1;56.9677862;24.1945249
44400.0;57.58;1;9;4011.2;1965;30.0;51.0;8;2;1.0;2024;0;0;0;1;56.9875534;24.2428669
4500.0;33.76;18;4;906.9;1901;54.0;26.0;3;1;4.0;2024;0;0;0;1;56.9498463;24.1442371
241900.0;32.87;1;7;10585.7;2023;0.0;70.5;6;3;3.0;2023;0;0;0;1;56.9667944;24.1034056
50500.0;49.54;1;11;9891.2;1990;27.0;78.0;12;3;10.0;2024;0;0;0;1;56.9454159;24.0234753
70600.0;33.92;3;3;1779.5;1900;27.0;34.2;3;2;1.0;2024;0;0;0;1;56.9401005;24.0767561
14000.0;31.57;4;2;598.9;1900;50.0;23.1;2;1;1.0;2024;0;0;0;1;56.9377177;24.1514294
11000.0;40.94;4;2;598.9;1900;50.0;29.9;2;1;1.0;2024;0;0;0;1;56.9377177;24.1514294
64190.0;61.14;2;4;3201.1;1880;48.0;115.8;10;4;1.0;2024;0;0;0;1;56.9591372;24.1273031
75000.0;42.08;1;9;14375.6;1983;30.0;62.4;8;4;2.0;2024;0;0;0;1;56.9553072;24.1962533
14900.0;35.33;4;6;5730.9;1955;35.0;58.3;5;2;1.0;2023;0;0;0;1;56.9662137;24.1475345
83000.0;25.77;6;6;1436.8;1913;31.0;59.6;7;3;4.0;2024;0;0;0;1;56.9510779;24.1290221
42500.0;41.63;2;5;2013.3;1903;55.0;64.7;6;3;5.0;2024;0;0;0;1;56.9424331;24.1316615
37000.0;43.94;1;9;2430.6;1979;31.0;50.4;8;2;9.0;2023;0;0;0;1;56.9522343;24.2044094
164500.0;23.03;1;7;10585.7;2023;0.0;49.4;4;2;2.0;2023;0;0;0;1;56.9667944;24.1034056
87400.0;36.5;1;6;3165.9;2022;0.0;48.5;4;2;4.0;2023;0;0;0;1;56.9171244;24.1041977
180000.0;31.75;2;6;5194.8;1900;30.0;100.9;7;3;5.0;2023;0;1;0;0;56.9573303;24.1136081
135000.0;48.12;3;3;454.9;1910;50.0;77.5;4;3;3.0;2024;0;0;0;1;56.9618967;24.1003962
